shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,game_data,additional
74,8,WC,semi,4-Jul-1990,Germany,England,Andreas Brehme,Peter Shilton,1,0,0,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
75,8,WC,semi,4-Jul-1990,Germany,England,Lothar Matthaus,Peter Shilton,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
76,8,WC,semi,4-Jul-1990,Germany,England,Karl-Heinz Riedle,Peter Shilton,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
77,8,WC,semi,4-Jul-1990,Germany,England,Olaf Thon,Peter Shilton,1,0,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
78,9,WC,last16,5-Jul-1990,Mexico,Bulgaria,Albergo Garcia Aspe,Borislav Mihaylov,0,1,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
79,9,WC,last16,5-Jul-1990,Mexico,Bulgaria,Marcelino Bernal,Borislav Mihaylov,0,0,1,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
80,9,WC,last16,5-Jul-1990,Mexico,Bulgaria,Jorge Rodriguez,Borislav Mihaylov,0,0,1,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
81,9,WC,last16,5-Jul-1990,Mexico,Bulgaria,Claudio Suarez,Borislav Mihaylov,1,0,0,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
82,9,WC,last16,5-Jul-1990,Bulgaria,Mexico,Krasimir Balakov,Jorge Campos,0,0,1,1,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
83,9,WC,last16,5-Jul-1990,Bulgaria,Mexico,Boncho Genchev,Jorge Campos,1,0,0,2,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
84,9,WC,last16,5-Jul-1990,Bulgaria,Mexico,Daniel Borimirov,Jorge Campos,1,0,0,3,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
85,9,WC,last16,5-Jul-1990,Bulgaria,Mexico,Yordan Letchkov,Jorge Campos,1,0,0,4,0,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936166,
86,10,WC,quarter,10-Jul-1994,Sweden,Romania,Hakan Mild,Florin Prunea,0,1,0,1,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
87,10,WC,quarter,10-Jul-1994,Sweden,Romania,Kennet Andersson,Florin Prunea,1,0,0,2,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
88,10,WC,quarter,10-Jul-1994,Sweden,Romania,Thomas Brolin,Florin Prunea,1,0,0,3,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
89,10,WC,quarter,10-Jul-1994,Sweden,Romania,Klas Ingesson,Florin Prunea,1,0,0,4,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
90,10,WC,quarter,10-Jul-1994,Sweden,Romania,Roland Nilsson,Florin Prunea,1,0,0,5,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
91,10,WC,quarter,10-Jul-1994,Sweden,Romania,Henrik Larsson,Florin Prunea,1,0,0,6,1,2,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/936190,
